pair_id,method,status,reference_path,output_path,iou_lip,dice_lip,iou_eye,dice_eye,iou_makeup,dice_makeup
1,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG11.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair01_result.png,0.2015886854596532,0.33553692357304093,0.0008181966944853543,0.0016350555918901242,0.0927478376580173,0.1697515830491963
1,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG11.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair01_result.png,0.19972944245820853,0.3329574742268041,0.000661320988674878,0.001321767864518794,0.09244408803350262,0.16924268993923575
1,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG11.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair01_vSYYZ17_vFG11.png,0.6800766283524904,0.8095781071835804,0.2153674832962138,0.3544071834341213,0.41538754281364965,0.5869594443199642
2,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG122.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair02_result.png,0.4571114369501466,0.6274213836477988,0.25853837679030484,0.4108549751969653,0.33805504587155966,0.5052931819428446
2,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG122.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair02_result.png,0.46838276440962506,0.6379573170731707,0.2582619339045288,0.41050583657587547,0.3415120833641268,0.5091449977963861
2,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG122.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair02_vSYYZ173_vFG122.png,0.8626423690205012,0.9262565733153968,0.42184182590233543,0.5933737750816612,0.5841019620996143,0.7374550074105441
3,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG230.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair03_result.png,0.3477375236432417,0.5160315232646011,0.010008534409186127,0.019818712551851282,0.12746685558141888,0.2261119339347426
3,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG230.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair03_result.png,0.3369874715261959,0.5040996698967096,0.01159375483073118,0.022921760391198046,0.12608957018334835,0.22394234618977713
3,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG230.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair03_vSYYZ217_vFG230.png,0.6231164687112214,0.7678025338575797,0.07746419188066786,0.1437898214426178,0.2539564220183486,0.4050482418034661
4,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG251.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair04_result.png,0.4229356023979888,0.5944550149497146,0.39330951607664827,0.5645687645687646,0.4039422543031649,0.575439984180344
4,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG251.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair04_result.png,0.41519331649504565,0.5867655134541461,0.3977392774139024,0.5691179805003401,0.40388694997604874,0.5753838654642944
4,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG251.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair04_vSYYZ253_vFG251.png,0.6568843777581642,0.7929151684645093,0.5226558995065052,0.6865055981143194,0.5678911362284355,0.7244012331041024
5,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG325.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair05_result.png,0.013714285714285714,0.02705749718151071,0.004958075100255195,0.009867227744322716,0.00856898029134533,0.016992353440951572
5,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG325.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair05_result.png,0.014135369376805613,0.0278766914233391,0.0017443128134312087,0.0034825509685844883,0.006865378875101275,0.013637133660850415
5,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG325.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair05_vSYYZ38_vFG325.png,0.7224597841580126,0.8388698427710132,0.5151324085750315,0.6799833541406575,0.5944241102717857,0.7456286021295301
6,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG332.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair06_result.png,0.6374464917178485,0.7785860422823369,0.23612737063919456,0.3820437541433848,0.3910887531440891,0.5622772123779511
6,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG332.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair06_result.png,0.6388274336283186,0.7796152548093149,0.23979169132441708,0.3868257756563246,0.39580480069199164,0.5671348894856435
6,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG332.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair06_vSYYZ48_vFG332.png,0.8539412673879444,0.921217173822426,0.3868556701030928,0.5578888682401041,0.5737476808905381,0.7291482463896257
7,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG403.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair07_result.png,0.20913181136477255,0.34592061742006613,0.15284757118927972,0.2651652742462768,0.1745643927216614,0.2972410772936282
7,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG403.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair07_result.png,0.2222222222222222,0.36363636363636365,0.18197082589988456,0.3079108585634378,0.19742711228909432,0.32975219996760785
7,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG403.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair07_vSYYZ551_vFG403.png,0.7209416380578715,0.8378455400398974,0.4280838615309605,0.599522021167634,0.5253216088584921,0.688801110280773
8,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG449.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair08_result.png,0.2783262118756446,0.4354541263254956,0.26563349646547035,0.4197636949516649,0.27172452803507036,0.42733236962081617
8,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG449.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair08_result.png,0.23620309050772628,0.3821428571428571,0.26877363587250136,0.42367468596976793,0.2531868441439538,0.4040687872316511
8,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG449.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair08_vSYYZ683_vFG449.png,0.6414267834793492,0.781547845977888,0.33529864137400667,0.5022077174121713,0.4518100984439505,0.6224093618417456
