pair_id,method,status,image_path,nme_full,nme_jaw,nme_brow,nme_nose,nme_eyes,nme_mouth
19,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair19_xfsy_0103_74a81ed20e457944b5273367cc969299.png,0.7035985328781056,0.8382486201583879,0.5198631174943936,0.6480780165188792,0.5562523011049616,0.7944057045431538
20,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair20_result.png,0.023955515736687645,0.027495029150382388,0.021729504187878272,0.024974864819984326,0.020867394708987314,0.023454100115019933
20,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair20_result.png,0.026532270348351282,0.030410710630564667,0.027308136118920693,0.025279672969626275,0.02322164166015487,0.025397712248349615
20,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair20_xfsy_0106_8ed6feb8f72b89632d02fbafcc2511a9.png,0.6615013806413046,0.7928642644152605,0.48519216485820305,0.5961923366126237,0.5362144770403401,0.7425587923806906
21,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair21_result.png,0.10087466065669601,0.10243850666050444,0.09445147070743098,0.10087013825296151,0.10075253160417547,0.10283232409866139
21,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair21_result.png,0.10140073274291793,0.10248678588648726,0.09862306512367645,0.10192401530907931,0.10157086931492189,0.10152889367972523
21,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair21_xfsy_0153_9b88951909bde896d18d71c42c2beca1.png,0.6567468274100028,0.7501218452701768,0.4871030464650477,0.6256228358275426,0.5340454764707968,0.7498264701157146
22,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair22_result.png,0.008613155372866116,0.008826400326966279,0.009439586681700671,0.005768564222435083,0.004786982760808503,0.011594446876293544
22,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair22_result.png,0.01301696693027711,0.011166529571798249,0.010957701265946607,0.007349727334034665,0.005492795664259521,0.02268423357640102
22,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair22_xfsy_0230_XMY-005.png,0.6644516109647761,0.7510167254929168,0.48554185962775476,0.6343143845034359,0.5368963543347536,0.7704209771046789
