method,deltae_lip_mean,deltae_lip_std,deltae_lip_n,deltae_eye_mean,deltae_eye_std,deltae_eye_n,deltae_skin_mean,deltae_skin_std,deltae_skin_n,deltae_avg_mean,deltae_avg_std,deltae_avg_n
baseline,6.076531887054443,2.380934953689575,30,14.705364227294922,6.999857425689697,30,4.455286026000977,1.9270604848861694,30,8.412394523620605,2.6121182441711426,30
ours,6.708639144897461,2.759589195251465,30,11.200539588928223,5.900814533233643,30,4.216440677642822,1.9433223009109497,30,7.375205993652344,2.213550329208374,30
stablemakeup,7.074984550476074,4.094226837158203,30,8.39748477935791,3.641190767288208,30,6.768528938293457,3.58390212059021,30,7.413665294647217,3.224430561065674,30
