method,iou_lip_mean,iou_lip_std,iou_lip_n,dice_lip_mean,dice_lip_std,dice_lip_n,iou_eye_mean,iou_eye_std,iou_eye_n,dice_eye_mean,dice_eye_std,dice_eye_n,iou_makeup_mean,iou_makeup_std,iou_makeup_n,dice_makeup_mean,dice_makeup_std,dice_makeup_n
baseline,0.3863896131515503,0.27386584877967834,30,0.4967847168445587,0.3113487958908081,30,0.25317731499671936,0.19684270024299622,30,0.36617058515548706,0.2445051670074463,30,0.3070872128009796,0.211822971701622,30,0.42985793948173523,0.24978365004062653,30
ours,0.3904935419559479,0.2799810767173767,30,0.4992072880268097,0.3147265911102295,30,0.25789931416511536,0.19532130658626556,30,0.37255141139030457,0.244586780667305,30,0.31133005023002625,0.21320827305316925,30,0.4345448911190033,0.25065597891807556,30
stablemakeup,0.7132520079612732,0.11035724729299545,30,0.8276030421257019,0.07839001715183258,30,0.4019753336906433,0.1805938184261322,30,0.5478483438491821,0.20117515325546265,30,0.5197733640670776,0.1437566727399826,30,0.6713493466377258,0.13486884534358978,30
