method,nme_full_mean,nme_full_std,nme_full_n,nme_jaw_mean,nme_jaw_std,nme_jaw_n,nme_brow_mean,nme_brow_std,nme_brow_n,nme_nose_mean,nme_nose_std,nme_nose_n,nme_eyes_mean,nme_eyes_std,nme_eyes_n,nme_mouth_mean,nme_mouth_std,nme_mouth_n
baseline,0.04569996893405914,0.038338545709848404,30,0.04704746976494789,0.038782574236392975,30,0.045202452689409256,0.03629783168435097,30,0.044189151376485825,0.0389336533844471,30,0.04431368038058281,0.03874344751238823,30,0.04631500318646431,0.03888269513845444,30
ours,0.046980541199445724,0.037657059729099274,30,0.04774598777294159,0.03823821246623993,30,0.047295086085796356,0.03619183599948883,30,0.04517668858170509,0.03831114619970322,30,0.04509526491165161,0.0390409454703331,30,0.048115525394678116,0.0372190847992897,30
stablemakeup,0.6632297039031982,0.020185455679893494,30,0.7621210217475891,0.0364924818277359,30,0.48487481474876404,0.017426177859306335,30,0.6302095651626587,0.016762789338827133,30,0.5376045107841492,0.013938253745436668,30,0.7585839033126831,0.02095673233270645,30
